url_path,views_total,views_unique
/KajaBraz/AdventOfCode2023,52,21
/KajaBraz/AdventOfCode2023/blob/main/day08/solution.py,40,8
/KajaBraz/AdventOfCode2023/tree/main/day08,39,8
/KajaBraz/AdventOfCode2023/tree/main,23,8
/KajaBraz/AdventOfCode2023/blob/main/day11/solution.py,21,7
/KajaBraz/AdventOfCode2023/tree/main/day11,19,7
/KajaBraz/AdventOfCode2023/blob/main/day12/solution.py,19,4
/KajaBraz/AdventOfCode2023/tree/main/day12,19,4
/KajaBraz/AdventOfCode2023/blob/main/day10/solution.py,12,2
/KajaBraz/AdventOfCode2023/tree/main/day01,11,2
