time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,61,21,0,0
2026-04-22 00:00:00+00:00,103,33,1,1
2026-04-23 00:00:00+00:00,83,22,0,0
2026-04-24 00:00:00+00:00,96,29,0,0
2026-04-25 00:00:00+00:00,48,18,0,0
2026-04-26 00:00:00+00:00,14,5,0,0
2026-04-27 00:00:00+00:00,15,3,0,0
2026-04-28 00:00:00+00:00,31,5,0,0
2026-04-29 00:00:00+00:00,30,8,1,1
2026-04-30 00:00:00+00:00,45,7,3,3
2026-05-01 00:00:00+00:00,33,6,4,4
2026-05-02 00:00:00+00:00,27,5,2,2
2026-05-03 00:00:00+00:00,34,8,5,5
2026-05-04 00:00:00+00:00,26,4,0,0
