url_path,views_total,views_unique
/KajaBraz/AdventOfCode2023,30,16
/KajaBraz/AdventOfCode2023/tree/main/day12,17,4
/KajaBraz/AdventOfCode2023/tree/main/day01,14,2
/KajaBraz/AdventOfCode2023/blob/main/day12/solution.py,12,4
/KajaBraz/AdventOfCode2023/blob/main/day25/solution.py,12,1
/KajaBraz/AdventOfCode2023/tree/main/day15,10,3
/KajaBraz/AdventOfCode2023/tree/main,8,5
/KajaBraz/AdventOfCode2023/tree/main/day13,7,3
/KajaBraz/AdventOfCode2023/tree/main/day16,7,2
/KajaBraz/AdventOfCode2023/blob/main/day13/solution.py,6,3
