time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,33,6,4,4
2026-05-02 00:00:00+00:00,27,5,2,2
2026-05-03 00:00:00+00:00,34,8,5,5
2026-05-04 00:00:00+00:00,26,4,0,0
2026-05-05 00:00:00+00:00,27,6,0,0
2026-05-06 00:00:00+00:00,50,12,0,0
2026-05-07 00:00:00+00:00,18,6,0,0
2026-05-08 00:00:00+00:00,3,3,0,0
2026-05-09 00:00:00+00:00,34,8,0,0
2026-05-10 00:00:00+00:00,33,5,0,0
2026-05-11 00:00:00+00:00,1,1,0,0
2026-05-12 00:00:00+00:00,2,2,1,1
2026-05-13 00:00:00+00:00,14,3,0,0
2026-05-14 00:00:00+00:00,8,4,0,0
