url_path,views_total,views_unique
/KajaBraz/AdventOfCode2023,49,21
/KajaBraz/AdventOfCode2023/blob/main/day11/solution.py,21,7
/KajaBraz/AdventOfCode2023/tree/main,20,7
/KajaBraz/AdventOfCode2023/tree/main/day11,19,7
/KajaBraz/AdventOfCode2023/blob/main/day12/solution.py,19,4
/KajaBraz/AdventOfCode2023/tree/main/day12,19,4
/KajaBraz/AdventOfCode2023/blob/main/day10/solution.py,12,2
/KajaBraz/AdventOfCode2023/tree/main/day01,11,2
/KajaBraz/AdventOfCode2023/blob/main/day01/solution.py,10,3
/KajaBraz/AdventOfCode2023/blob/main/day09/solution.py,10,3
