time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-25 00:00:00+00:00,30,4,0,0
2026-02-26 00:00:00+00:00,22,5,0,0
2026-02-27 00:00:00+00:00,17,4,0,0
2026-02-28 00:00:00+00:00,25,8,0,0
2026-03-01 00:00:00+00:00,29,8,0,0
2026-03-02 00:00:00+00:00,23,6,0,0
2026-03-03 00:00:00+00:00,29,8,0,0
2026-03-04 00:00:00+00:00,24,7,0,0
2026-03-05 00:00:00+00:00,21,4,0,0
2026-03-06 00:00:00+00:00,13,5,1,1
2026-03-07 00:00:00+00:00,20,4,0,0
2026-03-08 00:00:00+00:00,15,3,0,0
2026-03-09 00:00:00+00:00,26,6,0,0
2026-03-10 00:00:00+00:00,1,1,0,0
