time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-30 00:00:00+00:00,22,6,0,0
2026-01-31 00:00:00+00:00,31,7,0,0
2026-02-01 00:00:00+00:00,32,11,0,0
2026-02-02 00:00:00+00:00,30,9,0,0
2026-02-03 00:00:00+00:00,7,3,0,0
2026-02-04 00:00:00+00:00,18,5,0,0
2026-02-05 00:00:00+00:00,23,6,0,0
2026-02-06 00:00:00+00:00,21,4,0,0
2026-02-07 00:00:00+00:00,24,7,0,0
2026-02-08 00:00:00+00:00,21,4,0,0
2026-02-09 00:00:00+00:00,23,6,0,0
2026-02-10 00:00:00+00:00,18,5,0,0
2026-02-11 00:00:00+00:00,15,2,0,0
2026-02-12 00:00:00+00:00,5,5,0,0
