time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-09 00:00:00+00:00,4,4,20.0,2.0
2023-12-10 00:00:00+00:00,7,6,24.0,5.0
2023-12-11 00:00:00+00:00,7,6,83.0,7.0
2023-12-12 00:00:00+00:00,3,3,66.0,6.0
2023-12-13 00:00:00+00:00,8,6,45.0,5.0
2023-12-14 00:00:00+00:00,5,4,23.0,5.0
2023-12-15 00:00:00+00:00,9,7,51.0,3.0
2023-12-16 00:00:00+00:00,8,7,18.0,3.0
2023-12-17 00:00:00+00:00,6,5,12.0,3.0
2023-12-18 00:00:00+00:00,8,7,5.0,1.0
2023-12-19 00:00:00+00:00,6,5,3.0,1.0
2023-12-20 00:00:00+00:00,2,2,1.0,1.0
2023-12-21 00:00:00+00:00,5,5,6.0,2.0
2023-12-22 00:00:00+00:00,3,3,,
