url_path,views_total,views_unique
/KajaBraz/AdventOfCode2023,35,17
/KajaBraz/AdventOfCode2023/blob/main/day12/solution.py,19,4
/KajaBraz/AdventOfCode2023/tree/main/day12,19,4
/KajaBraz/AdventOfCode2023/tree/main/day01,14,2
/KajaBraz/AdventOfCode2023/tree/main,13,6
/KajaBraz/AdventOfCode2023/tree/main/day15,10,3
/KajaBraz/AdventOfCode2023/blob/main/day11/input.txt,10,2
/KajaBraz/AdventOfCode2023/blob/main/day11/solution.py,9,2
/KajaBraz/AdventOfCode2023/tree/main/day11,9,2
/KajaBraz/AdventOfCode2023/tree/main/day13,7,3
