time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,27,6,0,0
2026-04-15 00:00:00+00:00,24,7,1,1
2026-04-16 00:00:00+00:00,58,12,0,0
2026-04-17 00:00:00+00:00,27,5,1,1
2026-04-18 00:00:00+00:00,28,8,2,2
2026-04-19 00:00:00+00:00,25,8,0,0
2026-04-20 00:00:00+00:00,75,25,1,1
2026-04-21 00:00:00+00:00,61,21,0,0
2026-04-22 00:00:00+00:00,103,33,1,1
2026-04-23 00:00:00+00:00,83,22,0,0
2026-04-24 00:00:00+00:00,96,29,0,0
2026-04-25 00:00:00+00:00,48,18,0,0
2026-04-26 00:00:00+00:00,14,5,0,0
2026-04-27 00:00:00+00:00,15,3,0,0
