time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-03 00:00:00+00:00,29,8,0,0
2026-03-04 00:00:00+00:00,24,7,0,0
2026-03-05 00:00:00+00:00,21,4,0,0
2026-03-06 00:00:00+00:00,13,5,1,1
2026-03-07 00:00:00+00:00,20,4,0,0
2026-03-08 00:00:00+00:00,15,3,0,0
2026-03-09 00:00:00+00:00,26,6,0,0
2026-03-10 00:00:00+00:00,1,1,0,0
2026-03-11 00:00:00+00:00,28,4,0,0
2026-03-12 00:00:00+00:00,15,3,0,0
2026-03-13 00:00:00+00:00,23,7,0,0
2026-03-14 00:00:00+00:00,28,8,0,0
2026-03-15 00:00:00+00:00,16,4,0,0
2026-03-16 00:00:00+00:00,14,2,0,0
