time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,6.0,6.0,48,4
2023-12-03 00:00:00+00:00,5.0,5.0,102,5
2023-12-04 00:00:00+00:00,5.0,5.0,75,5
2023-12-05 00:00:00+00:00,,,68,12
2023-12-06 00:00:00+00:00,4.0,4.0,44,5
2023-12-07 00:00:00+00:00,3.0,3.0,59,6
2023-12-08 00:00:00+00:00,4.0,4.0,89,7
2023-12-09 00:00:00+00:00,4.0,4.0,20,2
2023-12-10 00:00:00+00:00,7.0,6.0,24,5
2023-12-11 00:00:00+00:00,7.0,6.0,83,7
2023-12-12 00:00:00+00:00,3.0,3.0,66,6
2023-12-13 00:00:00+00:00,8.0,6.0,45,5
2023-12-14 00:00:00+00:00,5.0,4.0,23,5
2023-12-15 00:00:00+00:00,7.0,6.0,51,3
